#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[29-04-2024T01:11:10.891 | main] INFO       ... Log file instantiated, located at C:\Users\femia\Desktop\Project_Automation\SeleniumProject\C4_LexisNexisProject\Samples/execution-reports/Execution_Report-29-04-2024T01_07_46_000\Test(290401875)\execution_log.txt ...
[29-04-2024T01:11:10.892 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[29-04-2024T01:11:10.892 | main] INFO       ... Configuring WebDriver ...
[29-04-2024T01:11:10.893 | main] INFO       ... Selenium run-time environment identified as "local" ...
[29-04-2024T01:11:10.893 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[29-04-2024T01:11:10.893 | main] INFO       ... Setting Windows Platform Capabilities: ...
[29-04-2024T01:11:10.893 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[29-04-2024T01:11:11.848 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[29-04-2024T01:11:11.849 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[29-04-2024T01:11:11.857 | main] INFO       ... Browser tab (29B2268CEF275ADBF928587DDF32C713) allocated to the Home Page page ...
[29-04-2024T01:11:15.307 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[29-04-2024T01:11:15.551 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:11:28.361 | main] INFO       ... Click on View profile Successful ...
[29-04-2024T01:11:28.362 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:11:40.868 | main] INFO       ... Click on View profile Successful ...
[29-04-2024T01:11:40.870 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:11:59.369 | main] INFO       ... Clicked on subcategory: Credit Risk Assessment ...
[29-04-2024T01:11:59.370 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:11:59.965 | main] INFO       ... SCENARIO PASSED ...
[29-04-2024T01:11:59.965 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[29-04-2024T01:11:59.965 | main] INFO       ... Capturing Pass Screenshot ...
[29-04-2024T01:12:00.469 | main] INFO       ... Shutting down WebDriver gracefully ...
[29-04-2024T01:12:00.706 | main] INFO       ... WebDriver killed ...
