#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[29-04-2024T01:10:22.476 | main] INFO       ... Log file instantiated, located at C:\Users\femia\Desktop\Project_Automation\SeleniumProject\C4_LexisNexisProject\Samples/execution-reports/Execution_Report-29-04-2024T01_07_46_000\Test(290401452)\execution_log.txt ...
[29-04-2024T01:10:22.477 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[29-04-2024T01:10:22.477 | main] INFO       ... Configuring WebDriver ...
[29-04-2024T01:10:22.479 | main] INFO       ... Selenium run-time environment identified as "local" ...
[29-04-2024T01:10:22.479 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[29-04-2024T01:10:22.480 | main] INFO       ... Setting Windows Platform Capabilities: ...
[29-04-2024T01:10:22.480 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[29-04-2024T01:10:23.385 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[29-04-2024T01:10:23.386 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[29-04-2024T01:10:23.395 | main] INFO       ... Browser tab (135E0A3FBC33DEB30AD856224784907C) allocated to the Home Page page ...
[29-04-2024T01:10:26.786 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[29-04-2024T01:10:27.025 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:10:39.849 | main] INFO       ... Click on View profile Successful ...
[29-04-2024T01:10:39.850 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:10:52.385 | main] INFO       ... Click on View profile Successful ...
[29-04-2024T01:10:52.387 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:11:09.582 | main] INFO       ... Clicked on subcategory: Customer Data Management ...
[29-04-2024T01:11:09.583 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:11:10.110 | main] INFO       ... SCENARIO PASSED ...
[29-04-2024T01:11:10.110 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[29-04-2024T01:11:10.110 | main] INFO       ... Capturing Pass Screenshot ...
[29-04-2024T01:11:10.615 | main] INFO       ... Shutting down WebDriver gracefully ...
[29-04-2024T01:11:10.857 | main] INFO       ... WebDriver killed ...
