#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[29-04-2024T01:15:25.444 | main] INFO       ... Log file instantiated, located at C:\Users\femia\Desktop\Project_Automation\SeleniumProject\C4_LexisNexisProject\Samples/execution-reports/Execution_Report-29-04-2024T01_07_46_000\Test(290401434)\execution_log.txt ...
[29-04-2024T01:15:25.445 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[29-04-2024T01:15:25.445 | main] INFO       ... Configuring WebDriver ...
[29-04-2024T01:15:25.447 | main] INFO       ... Selenium run-time environment identified as "local" ...
[29-04-2024T01:15:25.447 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[29-04-2024T01:15:25.447 | main] INFO       ... Setting Windows Platform Capabilities: ...
[29-04-2024T01:15:25.448 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[29-04-2024T01:15:26.471 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[29-04-2024T01:15:26.471 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[29-04-2024T01:15:26.477 | main] INFO       ... Browser tab (412F738CAA8C93B42F4046A9180C8937) allocated to the Home Page page ...
[29-04-2024T01:15:28.004 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[29-04-2024T01:15:28.769 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:15:41.519 | main] INFO       ... Click on View profile Successful ...
[29-04-2024T01:15:41.520 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:15:53.998 | main] INFO       ... Click on View profile Successful ...
[29-04-2024T01:15:53.999 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:16:09.346 | main] INFO       ... Clicked on subcategory: Home Insurance Solutions ...
[29-04-2024T01:16:09.347 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:16:23.156 | main] INFO       ... Click on View profile Successful ...
[29-04-2024T01:16:23.157 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:16:23.664 | main] INFO       ... SCENARIO PASSED ...
[29-04-2024T01:16:23.664 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[29-04-2024T01:16:23.665 | main] INFO       ... Capturing Pass Screenshot ...
[29-04-2024T01:16:24.177 | main] INFO       ... Shutting down WebDriver gracefully ...
[29-04-2024T01:16:24.446 | main] INFO       ... WebDriver killed ...
