#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[29-04-2024T01:13:36.335 | main] INFO       ... Log file instantiated, located at C:\Users\femia\Desktop\Project_Automation\SeleniumProject\C4_LexisNexisProject\Samples/execution-reports/Execution_Report-29-04-2024T01_07_46_000\Test(290401312)\execution_log.txt ...
[29-04-2024T01:13:36.335 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[29-04-2024T01:13:36.336 | main] INFO       ... Configuring WebDriver ...
[29-04-2024T01:13:36.336 | main] INFO       ... Selenium run-time environment identified as "local" ...
[29-04-2024T01:13:36.336 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[29-04-2024T01:13:36.336 | main] INFO       ... Setting Windows Platform Capabilities: ...
[29-04-2024T01:13:36.337 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[29-04-2024T01:13:37.365 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[29-04-2024T01:13:37.366 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[29-04-2024T01:13:37.369 | main] INFO       ... Browser tab (1B3B940EB60F254A5A09D8231E5A2E93) allocated to the Home Page page ...
[29-04-2024T01:13:39.483 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[29-04-2024T01:13:39.660 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:13:52.481 | main] INFO       ... Click on View profile Successful ...
[29-04-2024T01:13:52.482 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:14:04.998 | main] INFO       ... Click on View profile Successful ...
[29-04-2024T01:14:04.999 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:14:22.042 | main] INFO       ... Clicked on subcategory: Risk Orchestration ...
[29-04-2024T01:14:22.043 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:14:22.455 | main] INFO       ... SCENARIO PASSED ...
[29-04-2024T01:14:22.455 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[29-04-2024T01:14:22.455 | main] INFO       ... Capturing Pass Screenshot ...
[29-04-2024T01:14:22.897 | main] INFO       ... Shutting down WebDriver gracefully ...
[29-04-2024T01:14:23.144 | main] INFO       ... WebDriver killed ...
