#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[29-04-2024T01:14:23.169 | main] INFO       ... Log file instantiated, located at C:\Users\femia\Desktop\Project_Automation\SeleniumProject\C4_LexisNexisProject\Samples/execution-reports/Execution_Report-29-04-2024T01_07_46_000\Test(290401156)\execution_log.txt ...
[29-04-2024T01:14:23.169 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[29-04-2024T01:14:23.169 | main] INFO       ... Configuring WebDriver ...
[29-04-2024T01:14:23.170 | main] INFO       ... Selenium run-time environment identified as "local" ...
[29-04-2024T01:14:23.170 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[29-04-2024T01:14:23.170 | main] INFO       ... Setting Windows Platform Capabilities: ...
[29-04-2024T01:14:23.170 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[29-04-2024T01:14:24.144 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[29-04-2024T01:14:24.145 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[29-04-2024T01:14:24.150 | main] INFO       ... Browser tab (8487B752BF2DABDC6420E9BABA58A01C) allocated to the Home Page page ...
[29-04-2024T01:14:25.465 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[29-04-2024T01:14:26.187 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:14:39.170 | main] INFO       ... Click on View profile Successful ...
[29-04-2024T01:14:39.171 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:14:51.714 | main] INFO       ... Click on View profile Successful ...
[29-04-2024T01:14:51.715 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:15:10.239 | main] INFO       ... Clicked on subcategory: Fraud and Identity Management ...
[29-04-2024T01:15:10.240 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:15:24.132 | main] INFO       ... Click on View profile Successful ...
[29-04-2024T01:15:24.132 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:15:24.694 | main] INFO       ... SCENARIO PASSED ...
[29-04-2024T01:15:24.694 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[29-04-2024T01:15:24.694 | main] INFO       ... Capturing Pass Screenshot ...
[29-04-2024T01:15:25.245 | main] INFO       ... Shutting down WebDriver gracefully ...
[29-04-2024T01:15:25.426 | main] INFO       ... WebDriver killed ...
