#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[29-04-2024T01:09:37.316 | main] INFO       ... Log file instantiated, located at C:\Users\femia\Desktop\Project_Automation\SeleniumProject\C4_LexisNexisProject\Samples/execution-reports/Execution_Report-29-04-2024T01_07_46_000\Test(290401303)\execution_log.txt ...
[29-04-2024T01:09:37.316 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[29-04-2024T01:09:37.317 | main] INFO       ... Configuring WebDriver ...
[29-04-2024T01:09:37.317 | main] INFO       ... Selenium run-time environment identified as "local" ...
[29-04-2024T01:09:37.317 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[29-04-2024T01:09:37.317 | main] INFO       ... Setting Windows Platform Capabilities: ...
[29-04-2024T01:09:37.317 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[29-04-2024T01:09:38.229 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[29-04-2024T01:09:38.229 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[29-04-2024T01:09:38.233 | main] INFO       ... Browser tab (AEA435CCD7D7D462F17722F20AF20B03) allocated to the Home Page page ...
[29-04-2024T01:09:40.168 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[29-04-2024T01:09:40.351 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:09:53.171 | main] INFO       ... Click on View profile Successful ...
[29-04-2024T01:09:53.172 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:10:05.690 | main] INFO       ... Click on View profile Successful ...
[29-04-2024T01:10:05.691 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:10:20.980 | main] INFO       ... Clicked on subcategory: Fraud and Identity Management ...
[29-04-2024T01:10:20.981 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:10:21.602 | main] INFO       ... SCENARIO PASSED ...
[29-04-2024T01:10:21.602 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[29-04-2024T01:10:21.603 | main] INFO       ... Capturing Pass Screenshot ...
[29-04-2024T01:10:22.200 | main] INFO       ... Shutting down WebDriver gracefully ...
[29-04-2024T01:10:22.432 | main] INFO       ... WebDriver killed ...
