#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[29-04-2024T01:17:24.878 | main] INFO       ... Log file instantiated, located at C:\Users\femia\Desktop\Project_Automation\SeleniumProject\C4_LexisNexisProject\Samples/execution-reports/Execution_Report-29-04-2024T01_07_46_000\Test(290401866)\execution_log.txt ...
[29-04-2024T01:17:24.879 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[29-04-2024T01:17:24.879 | main] INFO       ... Configuring WebDriver ...
[29-04-2024T01:17:24.879 | main] INFO       ... Selenium run-time environment identified as "local" ...
[29-04-2024T01:17:24.879 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[29-04-2024T01:17:24.879 | main] INFO       ... Setting Windows Platform Capabilities: ...
[29-04-2024T01:17:24.879 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[29-04-2024T01:17:25.855 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[29-04-2024T01:17:25.856 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[29-04-2024T01:17:25.865 | main] INFO       ... Browser tab (09CE66F2EDD1DDF7EA6F1DEF4F6EEBD6) allocated to the Home Page page ...
[29-04-2024T01:17:27.834 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[29-04-2024T01:17:28.022 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:17:40.819 | main] INFO       ... Click on View profile Successful ...
[29-04-2024T01:17:40.820 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:17:53.323 | main] INFO       ... Click on View profile Successful ...
[29-04-2024T01:17:53.324 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:18:08.997 | main] INFO       ... Clicked on subcategory: Commercial Motor Insurance ...
[29-04-2024T01:18:08.997 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:18:22.675 | main] INFO       ... Click on View profile Successful ...
[29-04-2024T01:18:22.675 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:18:23.068 | main] INFO       ... SCENARIO PASSED ...
[29-04-2024T01:18:23.068 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[29-04-2024T01:18:23.069 | main] INFO       ... Capturing Pass Screenshot ...
[29-04-2024T01:18:23.463 | main] INFO       ... Shutting down WebDriver gracefully ...
[29-04-2024T01:18:23.713 | main] INFO       ... WebDriver killed ...
