#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[29-04-2024T01:16:24.487 | main] INFO       ... Log file instantiated, located at C:\Users\femia\Desktop\Project_Automation\SeleniumProject\C4_LexisNexisProject\Samples/execution-reports/Execution_Report-29-04-2024T01_07_46_000\Test(290401467)\execution_log.txt ...
[29-04-2024T01:16:24.488 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[29-04-2024T01:16:24.488 | main] INFO       ... Configuring WebDriver ...
[29-04-2024T01:16:24.488 | main] INFO       ... Selenium run-time environment identified as "local" ...
[29-04-2024T01:16:24.490 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[29-04-2024T01:16:24.490 | main] INFO       ... Setting Windows Platform Capabilities: ...
[29-04-2024T01:16:24.490 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[29-04-2024T01:16:25.465 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[29-04-2024T01:16:25.470 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[29-04-2024T01:16:25.476 | main] INFO       ... Browser tab (E9BE0DC48B3599B45D3E519A9616AA48) allocated to the Home Page page ...
[29-04-2024T01:16:28.421 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[29-04-2024T01:16:28.667 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:16:41.423 | main] INFO       ... Click on View profile Successful ...
[29-04-2024T01:16:41.424 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:16:53.890 | main] INFO       ... Click on View profile Successful ...
[29-04-2024T01:16:53.891 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:17:09.745 | main] INFO       ... Clicked on subcategory: Motor Insurance Solutions ...
[29-04-2024T01:17:09.746 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:17:23.589 | main] INFO       ... Click on View profile Successful ...
[29-04-2024T01:17:23.590 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:17:24.127 | main] INFO       ... SCENARIO PASSED ...
[29-04-2024T01:17:24.127 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[29-04-2024T01:17:24.127 | main] INFO       ... Capturing Pass Screenshot ...
[29-04-2024T01:17:24.678 | main] INFO       ... Shutting down WebDriver gracefully ...
[29-04-2024T01:17:24.858 | main] INFO       ... WebDriver killed ...
