#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[29-04-2024T10:45:34.994 | main] INFO       ... Log file instantiated, located at C:/Users/femia/Desktop/Project_Automation/SeleniumProject/C4_LexisNexisProject/Samples/execution-reports/Execution_Report-29-04-2024T00_44_55_000\Test(290410949)\execution_log.txt ...
[29-04-2024T10:45:35.006 | main] INFO       ... Initiating new Test Scenario: Verify elements under "Choose Your Industry" are present and clickable ...
[29-04-2024T10:45:35.007 | main] INFO       ... Configuring WebDriver ...
[29-04-2024T10:45:35.014 | main] INFO       ... Selenium run-time environment identified as "local" ...
[29-04-2024T10:45:35.022 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[29-04-2024T10:45:35.034 | main] INFO       ... Setting Windows Platform Capabilities: ...
[29-04-2024T10:45:35.036 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[29-04-2024T10:45:37.628 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[29-04-2024T10:45:37.629 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[29-04-2024T10:45:37.641 | main] INFO       ... Browser tab (E37B3E65986C1A554E00C2373B99B28E) allocated to the Home Page page ...
[29-04-2024T10:45:42.349 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[29-04-2024T10:45:42.577 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T10:45:56.436 | main] INFO       ... Click on View profile Successful ...
[29-04-2024T10:45:56.438 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T10:45:57.161 | main] INFO       ... Clicked on Financial Services heading successfully ...
[29-04-2024T10:46:07.342 | main] ERROR      ... Element not clickable within the time frame: Insurance ...
[29-04-2024T10:46:07.415 | main] INFO       ... Clicked on Insurance heading successfully ...
[29-04-2024T10:46:17.555 | main] ERROR      ... Element not clickable within the time frame: Life and Pensions ...
[29-04-2024T10:46:17.605 | main] INFO       ... Clicked on Life and Pensions heading successfully ...
[29-04-2024T10:46:27.753 | main] ERROR      ... Element not clickable within the time frame: Corporations and Non-Profits ...
[29-04-2024T10:46:27.814 | main] INFO       ... Clicked on Corporations and Non-Profits heading successfully ...
[29-04-2024T10:46:27.823 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T10:46:28.401 | main] INFO       ... SCENARIO PASSED ...
[29-04-2024T10:46:28.403 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[29-04-2024T10:46:28.403 | main] INFO       ... Capturing Pass Screenshot ...
[29-04-2024T10:46:28.957 | main] INFO       ... Shutting down WebDriver gracefully ...
[29-04-2024T10:46:29.364 | main] INFO       ... WebDriver killed ...
