#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[29-04-2024T01:12:00.735 | main] INFO       ... Log file instantiated, located at C:\Users\femia\Desktop\Project_Automation\SeleniumProject\C4_LexisNexisProject\Samples/execution-reports/Execution_Report-29-04-2024T01_07_46_000\Test(290401715)\execution_log.txt ...
[29-04-2024T01:12:00.736 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[29-04-2024T01:12:00.736 | main] INFO       ... Configuring WebDriver ...
[29-04-2024T01:12:00.736 | main] INFO       ... Selenium run-time environment identified as "local" ...
[29-04-2024T01:12:00.737 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[29-04-2024T01:12:00.737 | main] INFO       ... Setting Windows Platform Capabilities: ...
[29-04-2024T01:12:00.737 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[29-04-2024T01:12:01.725 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[29-04-2024T01:12:01.725 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[29-04-2024T01:12:01.729 | main] INFO       ... Browser tab (98D0F0C3CEE49EA0C86688E062F8B7C9) allocated to the Home Page page ...
[29-04-2024T01:12:04.245 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[29-04-2024T01:12:04.431 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:12:17.286 | main] INFO       ... Click on View profile Successful ...
[29-04-2024T01:12:17.287 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:12:29.781 | main] INFO       ... Click on View profile Successful ...
[29-04-2024T01:12:29.782 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:12:47.162 | main] INFO       ... Clicked on subcategory: Collections and Recovery ...
[29-04-2024T01:12:47.163 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:12:47.671 | main] INFO       ... SCENARIO PASSED ...
[29-04-2024T01:12:47.671 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[29-04-2024T01:12:47.671 | main] INFO       ... Capturing Pass Screenshot ...
[29-04-2024T01:12:48.189 | main] INFO       ... Shutting down WebDriver gracefully ...
[29-04-2024T01:12:48.380 | main] INFO       ... WebDriver killed ...
