#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[29-04-2024T01:12:48.403 | main] INFO       ... Log file instantiated, located at C:\Users\femia\Desktop\Project_Automation\SeleniumProject\C4_LexisNexisProject\Samples/execution-reports/Execution_Report-29-04-2024T01_07_46_000\Test(290401391)\execution_log.txt ...
[29-04-2024T01:12:48.404 | main] INFO       ... Initiating new Test Scenario: Validate each subcategory under "Financial Services" is present and clickable ...
[29-04-2024T01:12:48.404 | main] INFO       ... Configuring WebDriver ...
[29-04-2024T01:12:48.406 | main] INFO       ... Selenium run-time environment identified as "local" ...
[29-04-2024T01:12:48.406 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[29-04-2024T01:12:48.406 | main] INFO       ... Setting Windows Platform Capabilities: ...
[29-04-2024T01:12:48.406 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[29-04-2024T01:12:49.402 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[29-04-2024T01:12:49.403 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[29-04-2024T01:12:49.408 | main] INFO       ... Browser tab (0D92D0ED69FFDDEC3A9831B04CC56A33) allocated to the Home Page page ...
[29-04-2024T01:12:52.980 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[29-04-2024T01:12:53.223 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:13:06.055 | main] INFO       ... Click on View profile Successful ...
[29-04-2024T01:13:06.056 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:13:18.552 | main] INFO       ... Click on View profile Successful ...
[29-04-2024T01:13:18.553 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:13:34.991 | main] INFO       ... Clicked on subcategory: Investigations and Due Diligence ...
[29-04-2024T01:13:34.991 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:13:35.506 | main] INFO       ... SCENARIO PASSED ...
[29-04-2024T01:13:35.506 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[29-04-2024T01:13:35.506 | main] INFO       ... Capturing Pass Screenshot ...
[29-04-2024T01:13:36.048 | main] INFO       ... Shutting down WebDriver gracefully ...
[29-04-2024T01:13:36.299 | main] INFO       ... WebDriver killed ...
