#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[29-04-2024T10:41:33.580 | main] INFO       ... Log file instantiated, located at C:/Users/femia/Desktop/Project_Automation/SeleniumProject/C4_LexisNexisProject/Samples/execution-reports/Execution_Report-29-04-2024T00_44_55_000\Test(290410528)\execution_log.txt ...
[29-04-2024T10:41:33.589 | main] INFO       ... Initiating new Test Scenario: Verify elements under "Choose Your Industry" are present and clickable ...
[29-04-2024T10:41:33.590 | main] INFO       ... Configuring WebDriver ...
[29-04-2024T10:41:33.595 | main] INFO       ... Selenium run-time environment identified as "local" ...
[29-04-2024T10:41:33.596 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[29-04-2024T10:41:33.609 | main] INFO       ... Setting Windows Platform Capabilities: ...
[29-04-2024T10:41:33.613 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[29-04-2024T10:41:36.457 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[29-04-2024T10:41:36.457 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[29-04-2024T10:41:36.467 | main] INFO       ... Browser tab (8DA353E4F29CEE085D57FB730FBD9072) allocated to the Home Page page ...
[29-04-2024T10:41:40.913 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[29-04-2024T10:41:41.265 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T10:41:54.851 | main] INFO       ... Click on View profile Successful ...
[29-04-2024T10:41:54.854 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T10:41:55.356 | main] INFO       ... Clicked on Financial Services heading successfully ...
[29-04-2024T10:42:05.578 | main] ERROR      ... Element not clickable within the time frame: Insurance ...
[29-04-2024T10:42:05.640 | main] INFO       ... Clicked on Insurance heading successfully ...
[29-04-2024T10:42:15.804 | main] ERROR      ... Element not clickable within the time frame: Life and Pensions ...
[29-04-2024T10:42:15.856 | main] INFO       ... Clicked on Life and Pensions heading successfully ...
[29-04-2024T10:42:25.990 | main] ERROR      ... Element not clickable within the time frame: Corporations and Non-Profits ...
[29-04-2024T10:42:26.048 | main] INFO       ... Clicked on Corporations and Non-Profits heading successfully ...
[29-04-2024T10:42:26.056 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T10:42:26.682 | main] INFO       ... SCENARIO PASSED ...
[29-04-2024T10:42:26.684 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[29-04-2024T10:42:26.685 | main] INFO       ... Capturing Pass Screenshot ...
[29-04-2024T10:42:27.223 | main] INFO       ... Shutting down WebDriver gracefully ...
[29-04-2024T10:42:27.633 | main] INFO       ... WebDriver killed ...
