#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[29-04-2024T01:08:00.555 | main] INFO       ... Log file instantiated, located at C:\Users\femia\Desktop\Project_Automation\SeleniumProject\C4_LexisNexisProject\Samples/execution-reports/Execution_Report-29-04-2024T01_07_46_000\Test(290401523)\execution_log.txt ...
[29-04-2024T01:08:00.560 | main] INFO       ... Initiating new Test Scenario: Verify elements under "Choose Your Industry" are present and clickable ...
[29-04-2024T01:08:00.561 | main] INFO       ... Configuring WebDriver ...
[29-04-2024T01:08:00.563 | main] INFO       ... Selenium run-time environment identified as "local" ...
[29-04-2024T01:08:00.564 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[29-04-2024T01:08:00.572 | main] INFO       ... Setting Windows Platform Capabilities: ...
[29-04-2024T01:08:00.573 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[29-04-2024T01:08:02.356 | main] INFO       ... No browser tab currently allocated for the Home Page page ...
[29-04-2024T01:08:02.356 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Home Page page ...
[29-04-2024T01:08:02.361 | main] INFO       ... Browser tab (FC9F5AF8033754953E806A073676D57F) allocated to the Home Page page ...
[29-04-2024T01:08:04.252 | main] INFO       ... Successful response: HTTP 200 from https://risk.lexisnexis.co.uk/ ...
[29-04-2024T01:08:04.451 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:08:17.458 | main] INFO       ... Click on View profile Successful ...
[29-04-2024T01:08:17.459 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:08:17.913 | main] INFO       ... Clicked on Financial Services heading successfully ...
[29-04-2024T01:08:28.186 | main] ERROR      ... Element not clickable within the time frame: Insurance ...
[29-04-2024T01:08:28.229 | main] INFO       ... Clicked on Insurance heading successfully ...
[29-04-2024T01:08:38.368 | main] ERROR      ... Element not clickable within the time frame: Life and Pensions ...
[29-04-2024T01:08:38.429 | main] INFO       ... Clicked on Life and Pensions heading successfully ...
[29-04-2024T01:08:48.615 | main] ERROR      ... Element not clickable within the time frame: Corporations and Non-Profits ...
[29-04-2024T01:08:48.682 | main] INFO       ... Clicked on Corporations and Non-Profits heading successfully ...
[29-04-2024T01:08:48.688 | main] INFO       ... Capturing Screenshot ...
[29-04-2024T01:08:49.163 | main] INFO       ... SCENARIO PASSED ...
[29-04-2024T01:08:49.164 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[29-04-2024T01:08:49.164 | main] INFO       ... Capturing Pass Screenshot ...
[29-04-2024T01:08:49.665 | main] INFO       ... Shutting down WebDriver gracefully ...
[29-04-2024T01:08:49.851 | main] INFO       ... WebDriver killed ...
